rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
26,CoRoT-29,b,Transit,1,2.85057,0.0386,0.082,1.45,87.3,278.902103,6.479651,5260,0.97,0.9,,CoRoT-29 b,650,270.1555,10.088,3,0,16/04/15,
27,CoRoT-3,b,Transit,1,4.2568,,0,26.4,85.9,292.055263,0.12182,6740,1.37,1.56,,CoRoT-3 b,670,6883.91,11.32,3,0,14/05/14,
28,CoRoT-4,b,Transit,1,9.20205,0.09,0,0.525,90,102.194663,-0.672774,6190,1.16,1.17,,CoRoT-4 b,683,228.83,13.34,3,0,14/05/14,
29,CoRoT-5,b,Transit,1,4.0378962,0.04947,0.09,0.217,85.83,101.277254,0.815239,6100,1,1.19,,CoRoT-5 b,686,148.42,15.558,3,0,14/05/14,
30,CoRoT-6,b,Transit,1,8.886593,0.0855,0.1,2.32,89.07,281.072525,6.663194,6090,1.05,1.02,,CoRoT-6 b,690,940.74,13.068,3,0,14/05/14,
31,CoRoT-7,b,Transit,2,0.85359159,0.017016,0,7.5,80.78,100.956125,-1.063033,5259,0.913,0.82,,CoRoT-7 b,704,5.74,1.585,3,0,05/03/15,
32,CoRoT-8,b,Transit,1,6.21229,0.063,0,1.6,88.4,291.588518,1.426452,5080,0.88,0.77,,CoRoT-8 b,705,69.92,6.39,3,0,14/05/14,
33,CoRoT-9,b,Transit,1,95.2738,0.407,0.11,0.9,89.99,280.786712,6.204172,5625,0.99,0.94,,CoRoT-9 b,713,266.97,11.77,3,0,14/05/14,
34,Fomalhaut,b,Imaging,1,318280,115,0.13,,,344.412689,-29.622236,,2,,,Fomalhaut b,713,826.3,13.5,3,0,14/05/14,
35,GJ 1132,b,Transit,1,1.62893,,0,6,,153.715737,-47.156727,3270,0.181,0.21,,GJ 1132 b,757,1.62,1.16,3,0,12/11/15,-2.359
36,GJ 1214,b,Transit,1,1.5803925,,0.14,1.87,88.62,258.828837,4.96392,3026,0.157,0.21,,GJ 1214 b,767,6.55,2.678,3,0,28/01/16,-2.484
37,GJ 3470,b,Radial Velocity,1,3.33714,0.0348,0.051,1.07,88.8,119.774349,15.391492,3600,0.541,0.5,,GJ 3470 b,767,14,4.2,3,0,14/05/14,-1.538
38,GJ 3470,b,Radial Velocity,1,3.3366487,0.031,0.017,1.18,88.88,119.774349,15.391492,3652,0.51,0.48,,GJ 3470 b,768,13.73,3.88,3,0,23/07/14,
39,GJ 436,b,Radial Velocity,1,2.64389803,0.0308,0.1616,,86.858,175.546219,26.70657,3416,0.556,0.46,,GJ 436 b,779,25.4,4.1,3,0,18/09/14,
40,GJ 436,b,Radial Velocity,1,2.6,0.029,0.2,1.7,,175.546219,26.70657,,,,,GJ 436 b,792,23.201,4.26,3,0,12/02/15,
41,GJ 436,b,Radial Velocity,1,2.64389788,0.03109,0.15,1.73,86.774,175.546219,26.70657,,,,,GJ 436 b,797,23.13802,4.191,3,0,31/03/16,
42,GJ 436,b,Radial Velocity,1,2.64388312,0.0291,0.13827,1.8,86.44,175.546219,26.70657,,0.47,0.46,,GJ 436 b,800,22.1,4.17,3,0,05/02/15,
43,GJ 876,d,Radial Velocity,4,1.93778,,0.207,,,343.319733,-14.2637,,,,,GJ 876 d,806,,0.61,3,0,24/04/15,
44,HAT-P-1,b,Transit,1,4.4652934,,0,0.345,86.28,344.445104,38.674953,,1.133,1.11,,HAT-P-1 b,814,166.536,13.731,3,0,14/05/14,
45,HAT-P-1,b,Transit,1,4.4652968,0.05561,0,0.358,85.634,344.445104,38.674953,,,,,HAT-P-1 b,818,168.13207,14.785,3,0,31/03/16,
46,HAT-P-1,b,Transit,1,4.46529,0.0551,0,,85.9,344.445104,38.674953,5975,1.12,1.15,,HAT-P-1 b,825,168.4499,15.244,3,0,03/09/15,0.18
47,HAT-P-11,b,Transit,1,4.8878162,0.053,0.198,1.33,88.5,297.709351,48.080856,4780,0.81,0.75,,HAT-P-11 b,841,25.743,4.73,3,0,14/05/14,-0.585
48,HAT-P-12,b,Transit,1,3.2130598,0.0384,0,0.3192,89,209.389489,43.493534,4650,0.733,0.7,,HAT-P-12 b,850,67.059,10.749,3,0,14/05/14,-0.678
49,HAT-P-13,b,Transit,2,2.9162382,0.0431,0.0133,0.362,81.93,129.882536,47.352051,,,,,HAT-P-13 b,850,287.95398,16.668,3,0,31/03/16,
50,HAT-P-13,b,Transit,2,2.91626,0.0427,0.021,0.498,83.4,129.882536,47.352051,5653,1.22,1.56,,HAT-P-13 b,852,271.098,14.359,3,0,14/05/14,0.346
51,HAT-P-13,b,Transit,2,2.91625,,0.0133,,83.4,129.882536,47.352051,,,,,HAT-P-13 b,878,270.462,14.258,3,0,15/10/14,
52,HAT-P-14,b,Transit,1,4.627669,0.0606,0.107,1.82,83.5,260.116169,38.242165,6600,1.386,1.47,,HAT-P-14 b,885,709.367,12.89,3,0,14/05/14,0.563
53,HAT-P-15,b,Transit,1,10.863502,0.0964,0.19,1.96,89.1,66.248026,39.460636,5568,1.013,1.08,,HAT-P-15 b,897,618.471,12.016,3,0,14/05/14,0
54,HAT-P-16,b,Transit,1,2.77597024,0.0413,0.034,2.47,87.74,9.573181,42.463078,,,,,HAT-P-16 b,904,1331.38987,13.339,3,0,31/03/16,
55,HAT-P-16,b,Transit,1,2.77596,0.0413,0.036,2.42,86.6,9.573181,42.463078,6158,1.218,1.24,,HAT-P-16 b,905,1332.605,14.448,3,0,14/05/14,0.294
56,HAT-P-17,b,Transit,2,10.338523,0.0882,0.342,0.64,89.2,324.536396,30.488716,5246,0.857,0.84,,HAT-P-17 b,914,169.71,11.321,3,0,14/05/14,-0.319
57,HAT-P-18,b,Transit,1,5.507978,0.0559,0.009,0.286,88.79,256.346473,33.012512,4870,0.77,0.72,,HAT-P-18 b,928,62.29468,10.615,3,0,27/08/15,
58,HAT-P-18,b,Transit,1,5.508023,0.0559,0.084,0.25,88.8,256.346473,33.012512,4803,0.77,0.75,,HAT-P-18 b,950,62.61,11.153,3,0,14/05/14,-0.569
59,HAT-P-19,b,Transit,1,4.008778,0.0466,0.067,0.25,88.2,9.516742,34.711575,4990,0.842,0.82,,HAT-P-19 b,950,92.802,12.689,3,0,14/05/14,-0.432
60,HAT-P-2,b,Transit,1,5.63341,0.0677,0.5163,12.5,90,245.151489,41.048084,,1.298,1.42,,HAT-P-2 b,950,2739.6946,10.66,3,0,04/02/16,
61,HAT-P-2,b,Transit,1,5.63341,0.0677,0.52,11.9,87.3,245.151489,41.048084,6290,1.298,1.47,,HAT-P-2 b,963,2873.1832,11.007,3,0,04/02/16,0.485
62,HAT-P-2,b,Transit,1,5.6,0.068,0.5,7.3,,245.151489,41.048084,6300,,,,HAT-P-2 b,963,2828.6,12.3,3,0,12/02/15,
63,HAT-P-2,b,Transit,1,5.6334729,0.06878,0.5171,7.29,86.72,245.151489,41.048084,6290,1.36,1.64,,HAT-P-2 b,970,2888.95,12.969,3,0,14/05/14,0.577
64,HAT-P-20,b,Transit,1,2.9,0.036,0,13.8,,111.916469,24.33663,4600,,,,HAT-P-20 b,978,2320.1,9.75,3,0,12/02/15,
65,HAT-P-20,b,Transit,1,2.875317,0.0361,0.015,13.78,86.8,111.916469,24.33663,4595,0.756,0.69,,HAT-P-20 b,984,2302.899,9.718,3,0,14/05/14,-0.721
66,HAT-P-21,b,Transit,1,4.124481,0.0494,0.228,4.68,87.2,171.274955,41.027954,5588,0.947,1.1,,HAT-P-21 b,1000,1291.289,11.478,3,0,14/05/14,0.025
67,HAT-P-22,b,Transit,1,3.2122312,0.0414,0.016,2.14,86.9,155.681719,50.128345,,,,,HAT-P-22 b,1000,682.69884,12.106,3,0,31/03/16,
68,HAT-P-22,b,Transit,1,3.21222,0.0414,0.016,2.11,86.9,155.681719,50.128345,5302,0.916,1.04,,HAT-P-22 b,1001,682.352,12.106,3,0,14/05/14,-0.114
69,HAT-P-23,b,Transit,1,1.212884,0.0232,0.106,1.01,85.1,306.123854,16.762152,5905,1.13,1.2,,HAT-P-23 b,1001,664.237,15.334,3,0,14/05/14,0.199
70,HAT-P-23,b,Transit,1,1.21288287,0.02302,0,1.406,85.74,306.123854,16.762152,5885,1.104,1.09,,HAT-P-23 b,1002,658,13.72,3,0,26/03/15,
71,HAT-P-24,b,Transit,1,3.35524,0.0465,0.067,0.44,88.6,108.825058,14.262599,6373,1.191,1.32,,HAT-P-24 b,1010,217.704,13.922,3,0,14/05/14,0.408
72,HAT-P-25,b,Transit,1,3.652836,0.0466,0.032,0.42,87.6,48.435419,25.197405,5500,1.01,0.96,,HAT-P-25 b,1012,180.202,13.339,3,0,14/05/14,-0.125
73,HAT-P-26,b,Transit,1,4.234516,0.0479,0.124,0.4,88.6,213.156383,4.059997,5079,0.816,0.79,,HAT-P-26 b,1014,18.751,6.333,3,0,14/05/14,-0.42
74,HAT-P-27,b,Transit,1,3.039586,0.0403,0.078,,84.7,222.767436,5.947368,5300,0.945,0.9,,HAT-P-27 b,1017,209.759,11.635,3,0,16/05/14,-0.244
75,HAT-P-27,b,Transit,1,3.039577,0.04,0,,85,222.767436,5.947368,,,,,HAT-P-27 b,1025,197.05,11.43,3,0,14/05/14,
76,HAT-P-28,b,Transit,1,3.257215,0.0434,0.051,0.44,88,13.000766,34.728413,5680,1.025,1.1,,HAT-P-28 b,1037,198.953,13.585,3,0,14/05/14,0.053
77,HAT-P-29,b,Transit,1,5.723186,0.0667,0.095,0.71,87.1,33.131142,51.778759,6087,1.207,1.22,,HAT-P-29 b,1040,247.261,12.408,3,0,14/05/14,0.265
78,HAT-P-3,b,Transit,1,2.899736,0.03866,0,1.29,87.07,206.094121,48.028667,5185,0.917,0.8,,HAT-P-3 b,1040,187.83,9.27,3,0,14/05/14,-0.362
79,HAT-P-30,b,Transit,1,2.810595,0.0419,0.035,0.37,83.6,123.949894,5.836719,6304,1.242,1.22,,HAT-P-30 b,1070,225.968,15.02,3,0,14/05/14,0.312
80,HAT-P-31,b,Transit,1,5.005425,0.055,0.245,2.18,87.1,271.537705,26.426662,6065,1.218,1.36,,HAT-P-31 b,1070,689.98,11.99,3,0,14/05/14,0.348
81,HAT-P-32,b,Transit,1,2.150008,0.0343,0,0.19,88.9,31.042848,46.687836,6207,1.16,1.22,,HAT-P-32 b,1070,273.322,20.053,3,0,14/05/14,0.294
82,HAT-P-32,b,Transit,1,2.15000805,0.0343,0.0072,,88.9,31.042848,46.687836,6269,,1.22,,HAT-P-32 b,1074,,20.053,3,0,15/10/14,
83,HAT-P-33,b,Transit,1,3.474474,0.0499,0,0.2,87.2,113.184212,33.835052,6446,1.375,1.64,,HAT-P-33 b,1078,242.176,18.898,3,0,14/05/14,0.618
84,HAT-P-34,b,Transit,1,5.452654,0.0677,0.441,2.4,87.1,303.195342,18.104868,6442,1.392,1.53,,HAT-P-34 b,1082,1057.694,13.417,3,0,14/05/14,0.56
85,HAT-P-35,b,Transit,1,3.646706,0.0498,0.025,0.55,87.3,123.250764,4.787023,6096,1.236,1.44,,HAT-P-35 b,1100,334.979,14.93,3,0,14/05/14,0.407
86,HAT-P-36,b,Transit,1,1.327347,0.0238,0.063,1.12,86,188.266255,44.915352,5560,1.022,1.1,,HAT-P-36 b,1108,582.24,14.168,3,0,14/05/14,0.013
87,HAT-P-37,b,Transit,1,2.797436,0.0379,0.058,0.89,86.9,284.296064,51.269138,5500,0.929,0.88,,HAT-P-37 b,1120,371.528,13.204,3,0,14/05/14,-0.208
88,HAT-P-38,b,Transit,1,4.640382,0.0523,0.067,0.59,88.3,35.383234,32.246151,5330,0.886,0.92,,HAT-P-38 b,1120,84.857,9.247,3,0,14/05/14,-0.208
