pdes,a,e,M,pha
434,1.944080991098922,.07391486457203121,148.3906323659453,N
1019,1.911415681463416,.07138876910543755,166.9185478921617,N
1025,1.979069108641245,.03923438229381861,249.673407686779,N
1103,1.933775957651893,.09450202662036673,207.0286280287755,N
1355,1.853488167714095,.04470486709878724,11.77697172929674,N
1453,1.896920724093762,.02839764540432859,206.6048583729896,N
1509,1.866356004836734,.03233166749186783,353.3180592752157,N
1600,1.848836052043193,.03731039146640255,324.0339496153828,N
1876,1.964304832681815,.04787642577776615,190.7187138128168,N
1919,1.936238591122542,.0949794842188444,66.68825080696725,N
1920,1.929992172346215,.1057459959463282,178.9782828858903,N
2001,1.93357045931404,.09880160657890985,290.6551581590456,N
2047,1.871998778067677,.003223200351774974,149.5883243661432,N
2048,1.953777789394716,.04251451330686297,240.6887844283773,N
2049,1.949167293047961,.0841759222597344,224.7183764866,N
2083,1.871920096741793,.051300045802696,102.8065006266821,N
2131,1.887344561065249,.1109559299362091,209.9450336209349,N
2150,1.913186534861599,.05733988711193925,122.859352816711,N
2272,1.866586520497755,.09020565590820986,137.3949787776644,N
2491,1.877661987055973,.05443405965971012,84.11966700304946,N
2495,1.917546095131752,.1027018554403995,319.5139079109799,N
2735,1.85690797783038,.05476115300126808,10.68221273972051,N
3022,1.930996330566428,.1035464234885501,6.802193553762899,N
3043,1.926876654511335,.1063469133720532,146.3358175662643,N
3086,1.935727269228228,.02679471956995624,255.8278353420874,N
3101,1.978784216553639,.04645989109195036,37.10710219967388,N
3169,1.891897265540545,.06674173671159755,253.1800523787045,N
3225,1.879779635713479,.05310231617012016,350.8804909423654,N
3266,1.908216151870574,.110298813338358,42.26432109826128,N
3309,1.817456829261769,.05348005941296193,194.9466907186344,N
3353,1.863001222396726,.08463191922400569,286.3638491982232,N
3400,1.935170885399382,.09895145002547311,4.427532713161191,N
3447,1.990774272597002,.0286622838482979,235.2817022824935,N
3483,1.932686829950957,.1248850355031038,263.7568648589004,N
3880,1.946593870676564,.08259537080848603,232.8702805262874,N
3940,1.98783435200824,.05635790335676977,139.8456163350327,N
4031,1.934135632654204,.1009243386080408,240.4239705658467,N
4116,1.872383032443436,.0804818295037075,218.3800978435123,N
4125,1.921567919640973,.117966441709442,251.5270617842367,N
4232,1.9361074469954,.08338774715349616,204.4074878987034,N
4440,1.921188533703924,.07696600430575629,198.4804679230275,N
4464,1.952276019956619,.06808032956624606,72.79891674638705,N
4483,1.922580872836061,.08380582335743614,338.3018054538247,N
4490,1.930885902588528,.09216317330731552,358.6685376492967,N
4531,1.862047100339106,.04058629782401048,64.23203156158694,N
4674,1.858780176472892,.07019574232065073,283.2301171099185,N
4690,1.937619515543818,.1087685453254978,142.9753264488132,N
4713,1.926334571271211,.07350519985986065,15.24225491754596,N
4736,1.957923911029782,.1393182354419462,74.17655039346263,N
4764,1.931620329656065,.04697929059692693,284.6041379965804,N
4765,1.945423305247735,.06010663082102616,19.71264878794143,N
4868,1.960553782293863,.06787809966027258,300.9839220339739,N
4898,1.953395228397468,.08152241271426357,86.50169406352903,N
5175,1.967175725595865,.03863785838445821,155.4448480895304,N
5378,1.934006119143954,.08258105806679328,160.931443200087,N
5384,1.935473174013628,.1036079260502888,137.4300715158385,N
5390,1.939081835337968,.07723525830594785,249.4545285156576,N
5426,1.9549913953924,.1166317338020822,103.3852639647844,N
5427,1.93157329492381,.07434741505382342,329.9448265324402,N
5475,1.918013045061554,.1203656921098706,257.7003895046499,N
5477,1.917249642142646,.07554307121052647,358.2583587936568,N
5558,1.935383370011767,.112799842711184,273.0712185530258,N
5577,1.844291169962464,.04444310268724071,285.8121332215766,N
5579,1.949057309989407,.09775612922630197,328.0378475582253,N
5627,1.877808813347592,.02112702504367698,230.1054159740647,N
5639,1.851800483070035,.02306074006735375,270.6674456783835,N
5806,1.962765113289427,.03643283611849181,42.58061292884088,N
5841,1.926084437678905,.1044281710646651,147.0187098296866,N
5871,1.861820463811431,.07143994809694122,334.0574014285388,N
5899,1.928773856521139,.1167951127392148,153.5812150062371,N
5905,1.910192483423521,.07187429367020862,235.3048671860737,N
5967,1.941658216284083,.05500135082020389,336.4202586724586,N
5968,1.908637779287682,.02538485874278625,157.8439507061833,N
6029,1.927147915305751,.07581251587586031,129.9957828935535,N
6087,1.930052017051975,.07604057434745307,109.6787288810155,N
6107,1.865517369949167,.0827147378555565,185.5495158961414,N
6163,1.927175535903139,.102749162991221,3.675322243143033,N
6250,1.932687449914563,.07099492268318762,236.721076218049,N
6271,1.968183198021021,.05207787386840212,339.9064765862252,N
6296,1.891113114837579,.06208966970620377,348.2195669492986,N
6310,1.913472959383428,.03129137043322953,23.56269190579102,N
6382,1.824478526128205,.04686172528050703,109.6986514013199,N
6384,1.936400083033339,.07707210180795242,97.90936563874142,N
6394,1.938672115917962,.09277915575609667,134.8712890222211,N
6435,1.919583172978665,.0577722380978783,341.587883745315,N
6447,1.952028263631352,.08581979057789049,82.76578343749301,N
6461,1.952439033566503,.1018203963286208,16.65390043117705,N
6493,1.948932467622983,.08332084466554163,36.25791871381239,N
6517,1.926089754097087,.04783134066613415,104.1850654977713,N
6602,1.870685006128144,.07359767197814716,260.6472757984194,N
6618,1.875100398681971,.04426305401037055,246.5563545007583,N
6635,1.88993103077952,.110082012011124,241.1771138743055,N
6646,1.924826987488729,.1004749993171791,164.2201702597767,N
6859,1.833814319145684,.01382145010385393,233.8233786777758,N
6870,1.92701628842697,.1133086909832929,227.8627068192531,N
6901,1.942499390504539,.1117133715473529,189.3446692145455,N
6911,1.931729818592078,.0900452952240258,263.1263573996558,N
7086,1.909009001929312,.08715319878213708,67.35840456648887,N
7087,1.956288893049974,.1010627521972181,211.1339985846189,N
7173,1.956344560568047,.01345902753506359,353.2962186810905,N
7187,1.937464143783576,.08610948104073572,32.90358236417871,N
7247,1.917094111113961,.118226852781739,55.38729666641346,N
7488,1.958629589724497,.04839417386153007,240.2704636734101,N
7560,1.954921461533989,.1046610022156763,60.90890783906151,N
7579,1.978453563793094,.0653428263942077,254.3745939979329,N
7781,1.956539489767881,.06988739449373552,77.91915217383757,N
7783,1.93410967118806,.07736058414805066,127.497897130379,N
7829,1.951743763130446,.07563056196646439,154.3031927960322,N
7958,1.87705329970513,.07699726909362385,66.6986125463128,N
7959,1.942779270646112,.0857350935972369,310.9646336579099,N
8024,1.967299772963762,.05838693621487829,18.27026977162887,N
8026,1.925129675831774,.07522345925314913,320.0010905682777,N
8348,1.869509042387608,.06746052998503836,47.83129944354477,N
8404,1.968134742593428,.07715260344596445,205.1550720614547,N
8825,1.866804442295185,.0306647972703394,96.17075409821712,N
