a,e
.7410387307362212,.3221370411637515
.6175935579768422,.4545421268063333
.6814637358883883,.3723556884079943
.615921430159532,.3049800430966406
.6352110509347895,.5311396533305017
.6922726670833339,.4159873368202021
.7847161049097428,.1830213499657233
.5476020828974312,.7886662681260697
.694822978134339,.3801573255677069
.6180198724284315,.533875416113855
.7128927761790175,.3614742629199986
.6008245039669771,.5641338612406195
.7736971747701189,.1556338983938636
.752344079792108,.2709106064355332
.666234494087008,.4717193430257721
.8048874541754941,.1989225453467638
