name,N,i,w,a,e,M,pha
Ceres,80.32179957797966,10.59166290685243,72.73328753973139,2.768111631248674,.07575441922782949,181.3812852768417,N
Pallas,173.0882886704095,34.84094763049666,309.9894453039298,2.772362124937357,.2310235760531635,163.6044154597673,N
Juno,169.8625601475141,12.98987176957462,248.2939774591857,2.669763260931873,.2562656128667447,123.4667771498561,N
Vesta,103.8460634268481,7.140050248842358,151.1375865599384,2.361669464000333,.08892237917993467,129.5297452578941,N
Astraea,141.5959025199167,5.368463631704246,358.9465078582529,2.574181078191351,.1914020813390989,355.6652226479048,N
Hebe,138.699671643021,14.74415374247088,239.6412337553613,2.427071447409957,.2016652362719502,133.2648504127497,N
Iris,259.5716179003012,5.523352093366618,145.3833778287617,2.385262912263827,.2313383819528605,179.2420629724005,N
Flora,110.9055159598171,5.886844603979549,285.3995166855136,2.201044893105776,.1569539854065083,192.584009357553,N
Metis,68.93528354056333,5.574161911961089,5.904602240597471,2.38636264139954,.1220962766364559,316.5773543676037,N
Hygiea,283.3358264459519,3.832190197134019,311.8217676947241,3.14391529716374,.1140558191698366,300.1210728568821,N
Parthenope,125.5666943589163,4.629849130226924,196.0047380986233,2.45253981414372,.1002355468480959,330.5195444026755,N
Victoria,235.4815081127842,8.368585391313385,69.51034917746236,2.33344430844984,.2210755804782413,161.8088385186013,N
Egeria,43.23893522901065,16.53858306779347,80.29430200400564,2.576904746989896,.0837258426513825,261.863248753811,N
Irene,86.14878936251266,9.118601109507253,98.06442692290858,2.585974262126451,.166374278154315,240.2780380053454,N
Eunomia,293.1821325988036,11.73808715347714,97.54200494131724,2.643534361120011,.1872519273396768,9.241575876393171,N
Psyche,150.276905021131,3.099027428943077,227.1028933070689,2.921805066540019,.136046138482136,53.59674337581659,N
Thetis,125.5658622135931,5.590710940336161,136.050668393803,2.470620807999363,.1323497797409334,358.9976718217645,N
Melpomene,150.4697693216285,10.13379016681335,227.882382266233,2.295238060722328,.2189370020904176,287.2366369661818,N
Fortuna,211.1530960174573,1.57369306744858,182.2034816088878,2.441595052446162,.1588254245822182,247.2267295793897,N
Massalia,206.128415447561,.7084052475287773,256.5925324572391,2.4085919075552,.1427100337798478,161.5426096698924,N
Lutetia,80.88199725058921,3.063592988874832,250.0939323360087,2.434787111561931,.1646283967266682,32.84807312893408,N
Kalliope,66.06858551052576,13.71500878367393,354.9130367886577,2.910520251816181,.09949575911264123,319.6955508846409,N
Thalia,66.85706718866653,10.1145818960289,60.74031654645774,2.624951408780895,.2356336327516953,57.61561526686349,N
Themis,35.92028658896826,.7521882086150166,106.836157279083,3.136106936299914,.125668713773715,142.5147476245595,N
Phocaea,214.1746264566451,21.59027679681551,90.1117952049362,2.400794108697192,.2548171223691837,215.0435748769543,N
Proserpina,45.7853283045148,3.56397392414316,194.1631229920261,2.654206871676377,.0906155633884064,191.5813087125931,N
Euterpe,94.79846872765908,1.58368207149631,356.6124410619044,2.346652340942842,.172207898546176,6.155913725496386,N
Bellona,144.324019206529,9.432926277587814,344.5827470149244,2.776760946355688,.1519793789158823,17.1590036327485,N
Amphitrite,356.4203187030449,6.089749398250928,62.0067934062003,2.554564982609703,.07187535400808896,355.9786342770824,N
Urania,307.6305316458647,2.097934549448813,86.78250124721741,2.36547081316423,.1265853782579858,64.60655122562157,N
Euphrosyne,31.12565286692227,26.30334745341852,61.4572588162268,3.155978440209072,.2216588300244051,236.2108354315536,N
Pomona,220.4481502653577,5.523465186369497,339.0735343854039,2.58797577736266,.08028921214627495,108.2885745733498,N
Circe,184.4217836246291,5.498707218619867,330.5534008280672,2.687884854748732,.1046393829962418,218.4099956679429,N
Leukothea,353.7497012930222,7.936752845284313,213.2352435839168,2.993356894460747,.2264357660986145,346.9947298078656,N
Atalante,358.4132946901742,18.42628098375982,47.0095843699382,2.748933269626329,.3020037224782597,41.22715176451307,N
Fides,7.293647599726358,3.072855086641269,63.07004355520803,2.644145884987982,.1739369565984871,65.99018279004574,N
Leda,295.7387393591477,6.972077916409162,169.4981451511905,2.738482386005087,.1555373789061188,103.8137684468299,N
