pdes,a,e,M,per,pha
433,1.457877746420397,.2226786588694712,95.36114805250125,1.76031286283834,N
719,2.633253250236714,.5508742978542445,132.6314917409151,4.27314023493039,N
887,2.478760359274814,.5672172168549113,250.3636263792981,3.90265369564131,N
1036,2.663276053992385,.5339514124972429,1.82012993970789,4.346427888846,N
1221,1.919386512005161,.4354551638473656,165.4893313318747,2.65920525380235,N
1566,1.078063024534608,.8268942439117076,223.3210681353504,1.11937197234149,Y
1580,2.197245445099418,.4874922716586908,70.89179627702833,3.2570622689163,N
1620,1.245343351832861,.3354147272586814,180.472712282801,1.38976657468548,Y
1627,1.862926292196208,.3965017287915737,356.3862360494145,2.54273856803429,N
1685,1.367363410215874,.435903423458206,24.18979242263479,1.59894723992362,N
1862,1.470232453058074,.5599443708061149,135.3790657551367,1.78273671841112,Y
1863,2.259899856272804,.60626016785629,325.4564355536637,3.39736332385435,N
1864,1.460719531473937,.6147402820792869,48.1766015255664,1.76546233552105,N
1865,1.080024282995551,.466970473703813,38.3411866131063,1.12242797539581,N
1866,1.893707991841201,.5384528001436808,218.9545926918312,2.60601985509133,N
1915,2.544883594505142,.5705533844878543,226.8477221618635,4.05985091094709,N
1916,2.271717548680661,.4502112559347858,79.35758507994477,3.42404687584935,N
1917,2.151274446138244,.5042142173343365,114.2562459195994,3.15538190011668,N
1943,1.430506227477906,.255965751365342,346.5523120722507,1.71097172045586,N
1980,1.709463575554241,.364874668226087,64.11482873093622,2.23510525429673,N
1981,1.776133064241597,.6500103723269686,6.629119566299166,2.36712641031715,Y
2059,2.646866371250417,.5292401221215048,40.33919937187252,4.30631928357716,N
2061,2.265392822897493,.5369121641988986,78.91106383674956,3.40975741636905,N
2062,.9667898316324987,.1827171340905242,172.267762763347,0.950618612525843,N
2063,1.077956769730746,.3493283475874288,304.7338917879627,1.11920648704619,N
2100,.8320233319213325,.4365418005751031,81.74947088984433,0.758947019798869,N
2101,1.874944104639423,.763827824774997,81.59275159571669,2.567383170542,Y
2102,1.290051783403005,.299148816495564,85.78643003020903,1.46527424957031,Y
2135,1.599472808063654,.50305407378915,83.44403419808138,2.02289571341572,Y
2201,2.174671942652521,.7131248452907215,71.37938380649697,3.20699903469005,Y
2202,2.290426886813583,.5124652338567152,165.8585129273852,3.46643333112078,N
2212,2.159046966615689,.837576182211995,272.0812839072438,3.17249785399386,N
2329,2.408809487832393,.6549550809974606,202.9245593718736,3.73862479489576,N
2340,.8438292455376517,.4498841655895494,42.10443294792183,0.775157693810369,Y
2368,2.106395516247297,.4130540110108966,206.2388619187504,3.05715940942813,N
2608,2.516063532390203,.5713505079598545,204.9371196413886,3.99108159740177,N
3102,2.15065508031892,.4494778143411288,321.8353068288794,3.15401931593352,N
3103,1.404396928453943,.3543653240985432,208.6221634389697,1.66434367036074,N
3122,1.768628211212351,.4227360276412629,100.1458140380855,2.3521392252428,Y
3199,1.574418111003022,.284059945645673,282.6243086144395,1.97555132724397,N
3200,1.271194476429617,.8898751876405596,208.8333448965682,1.43326401754927,Y
3271,2.101285353079161,.3959646207974631,349.1433673517848,3.04604105278078,N
3288,2.032832736932446,.4562092321258862,233.135319576992,2.89841568526882,N
3352,1.87889471900775,.369046472495818,203.4847752258971,2.57550187800875,N
3360,2.466970925068284,.745471360742413,315.3490319913993,3.87484423397587,N
3361,1.209441990741181,.3228826503635961,283.4076826366829,1.33010451154314,Y
3362,.9895059032162825,.4685335922027844,35.75890525673795,0.984318814687984,Y
3551,2.092144051154799,.4877094316057394,241.1212962847011,3.0261857232678,N
3552,4.236724395404768,.7119532063510321,264.5519945456082,8.72074369180267,N
3553,1.644586325172603,.3201600877978364,234.1652156249379,2.10908078196883,N
3554,.9736750968684723,.2804802739544784,184.780967450566,0.96079181784076,N
3671,2.198891252902087,.5414710125351803,244.4080777399713,3.26072242134438,Y
3691,1.774428825389564,.2840914097366772,90.82955861944686,2.36372026270735,N
3752,1.413433754181378,.3016827582082827,291.9983031408025,1.68043372916672,N
3753,.9977056598499723,.5149117672620216,24.06662551867464,0.996579286156295,N
3757,1.834574869828645,.4456173697044406,104.6174651379954,2.48491399814148,Y
3838,1.504984253363627,.7022356338332389,317.4356507397702,1.84631643747426,N
3908,1.92693632890002,.4591763171491198,46.72941005110447,2.67491046133211,N
3988,1.544369588263299,.3167972386454072,113.2103095298278,1.91926553078015,N
4015,2.639201040376726,.6269774320219017,161.9121925978645,4.28762616848238,Y
4034,1.059653890093643,.4439051938481083,50.80809315190232,1.09082292717582,Y
4055,1.820179552475178,.3265177929939554,63.10054397452459,2.45572396913906,N
4179,2.534448118161193,.6293824383673633,281.883273538571,4.0349049663775,Y
4183,1.982400134284544,.6344129047076564,126.4616639609362,2.79122714445724,Y
4197,2.296648438865259,.7718224618305793,170.0121022747754,3.4805668760904,N
4257,1.64697202227584,.4683236533016194,108.877886738628,2.11367171054455,N
4341,1.835217190645273,.6795743087689858,215.3234035473804,2.48621913840656,N
4401,2.579566651331267,.5649537846230851,92.76944962746128,4.14312782865622,N
4450,1.442253526392916,.58654444167886,171.2973773219575,1.73209064675257,Y
4486,2.199397360844328,.6628382199269518,270.6673696599332,3.26184824268829,Y
4487,1.730701887314708,.2965340386639924,150.3519638866399,2.27688765898122,N
4503,2.707096939552881,.5230521199471186,298.5096412728018,4.45414051970079,N
4544,1.04177387876107,.2501211493145077,269.2692509947568,1.06333081061318,N
4581,1.022394755408817,.3570631152827726,42.95258968733214,1.03379903344156,Y
4596,2.240682317180804,.5187227551438049,68.99823705525675,3.35412028015602,N
