name,a,e,M,w,per
Halley,17.8341442925537,0.967142908462304,38.3842644764388,111.3324851045177,75.3158906863411
Encke,2.215132168119717,.8483353543281217,191.9830650931392,186.5460141528601,3.2969143756007
Biela,3.53465808340135,0.751299,.9469569963959761,221.6588,6.64552531740703
Faye,3.83815915788662,.5696175496849397,59.65629669645756,205.1258177176394,7.51956420594534
Brorsen,3.10112826228681,0.809796,.1743237848212893,14.9468,5.46119640576126
d''Arrest,3.503683369339459,.6114219228700193,17.52046753268517,178.1152293178701,6.55836343821244
Pons-Winnecke,3.418928238115145,.6376170100495518,51.05523981198084,172.5000552680682,6.32183534284138
Tuttle,5.6998620708785754374048,0.8197997470243816309221,351.4516245290291,207.5092459727414,13.6083265414944
Tempel,3.146531761968834,.5098191971027368,319.8162046132129,179.1872688303726,5.58157008403714
Tempel,3.064200979961858,.5373524008962,345.6199434171522,195.5476728978316,5.36394199699254
Tempel-Swift-LINEAR,3.412530375504241,.5462361578422221,41.90335896713238,164.1149688874212,6.30409850979341
Pons-Brooks,17.121223241407509618738,0.9548123941619716115170,1.601583044410965,199.028468565403,70.8451929225654
Olbers,16.9067774347548,0.930297147462082,1.656899068407468,64.64120651677283,69.5183499778236
Wolf,4.253550620791401,.3556303365465381,235.4411475254309,159.1621223444681,8.77274711988889
Finlay,3.487620254044579,.7201690549546611,22.08495765565798,347.559241376592,6.51331360097578
Brooks,3.358221347550548,.5632234095202744,55.77498981764651,219.7488417157946,6.15420812539407
Holmes,3.620364612305112,.4316918158101075,60.1556261802272,24.56129594403238,6.8886904386768
Perrine-Mrkos,3.55954221481951,0.642580982439164,11.51461302314525,166.0504171249452,6.71582582329104
Borrelly,3.602103618426963,.6255056909848424,18.60881822392003,353.4653344930212,6.83663674179294
Westphal,15.6421524304176,0.919831188993609,359.7165728186091,57.08095497141959,61.8661332756055
Giacobini-Zinner,3.515549653876195,.7068178874382801,79.15473085623789,172.5844249090343,6.59170945771282
Kopff,3.445531902348308,.5477531209893566,9.231823882440029,162.9028630022056,6.39576672805268
Brorsen-Metcalf,17.069206834622299595594,0.9719522579248509597249,.2664191525503107,129.6106836788667,70.5225834969236
Schaumasse,4.08201725729564,0.704800355727747,10.5571002171822,57.87449254945604,8.2474645386527
Neujmin,3.08916688391109,0.566818596285863,11.57706623123575,193.7040335562024,5.42963027852721
Grigg-Skjellerup,3.016899663207433,.6402771379420908,93.84515864619932,2.146692287947138,5.24021977965204
Crommelin,9.235960944226864,.9189810923126022,20.61577251683614,196.0253968913816,28.0692839516353
Neujmin,6.91117047509728,0.775413310267197,24.12183115677739,346.9162480897589,18.169191853189
Schwassmann-Wachmann,6.012902722853091,.04159566771213193,280.2031403958263,49.49588898286991,14.7446500363493
Reinmuth,3.775407331000286,.5011953460445658,61.06376105450979,13.17396658855007,7.33590881521051
Schwassmann-Wachmann,4.246480086303573,.1939049560064233,100.7835205272671,18.01931880463022,8.75088224768839
"Comas Sola",4.506309665622958,.5560422729746218,32.40775222084641,53.30412527572365,9.56620648484774
Daniel,4.0322648712397013426311,0.4619610780504002089941,34.65417307778618,18.96396783509159,8.09714246821617
Gale,4.9435893,0.760719,1.1223642,209.1572,11
Herschel-Rigollet,28.8435453,0.97405,359.9715976,29.298,155
Whipple,4.161500021015582,.2617095134990785,98.97979457264906,200.6202022211424,8.48951840115475
Forbes,3.435252239041289,.5405801452774754,70.87561172651786,329.6436674604699,6.36716565809481
Stephan-Oterma,11.2476696975501,0.860022494401565,3.705608922904022,358.1910370660319,37.7226360578495
Oterma,7.25148931544269,0.245513956937926,338.345849678193,56.27834376123234,19.5276066944962
Vaisala,4.939864962861835,.6316152020645802,25.59861596735432,47.28885502172881,10.9794558818843
Tuttle-Giacobini-Kresak,3.08544379187977,0.66041266487128,346.0350247582312,62.19321855938809,5.41981747692292
Neujmin,4.876460018192112,.5841747519155726,23.77772214832961,147.120393793131,10.7687477482499
Wolf-Harrington,3.34922191681506,.5946651580229637,58.08204437832079,191.491979515038,6.12948644579256
Reinmuth,3.693173969476632,.4263587224185384,37.48368459753332,58.26864705864526,7.0975400373726
Honda-Mrkos-Pajdusakova,3.021546191968544,.8246720758970018,42.638552274391,326.2580403750489,5.25233065880804
Wirtanen,3.087646694227751,.659202561356482,57.51960214822232,356.3402053363259,5.42562286195012
Ashbrook-Jackson,4.123164511232739,.3167267437788968,283.1757066819097,357.7622106302243,8.3724815085334
Johnson,3.53174298156458,.4252128228718672,186.3162928006837,210.3702533539293,6.63730597007971
Arend-Rigaux,3.566556837561493,.6002741375112215,154.3344573629339,332.9187091007017,6.73568744437421
Arend,4.084807073353012,.5302606367828769,354.4859914589077,49.22171663273186,8.25592096046928
Harrington,3.71446643000283,.542437041421476,7.34011923544291,269.2756022819647,7.15900818286303
Harrington,3.580672324457032,.5620663599153678,303.4588923007622,233.587839407905,6.77571408202069
Harrington,3.71436788288775,.5424857920569471,350.9555637520852,269.3739808328227,7.15872328531293
Harrington-Abell,3.857849696139989,.5403891098664094,33.49388213604229,139.5984423127618,7.5775037018532
"Van Biesbroeck",5.411319767385534,.5514593086814216,340.7446612627342,134.1911692760593,12.5881815993562
"de Vico-Swift-NEAT",3.7904782930723568412645,0.4270474945217546114406,339.8904731313036,1.933331420129209,7.37987869257988
Tempel-Tuttle,10.3383382297577,0.905552720972412,4.97833968468816,172.5002736828059,33.2417827583798
Slaughter-Burnham,5.086080145567667,.5068157697508696,331.863380751342,44.23172251260178,11.4705172248636
