pdes,a,e,M,per
"2006 W3",17989.46639723203,.9998262187172564,359.9999523503283,2412879.44939812
"2006 WD4",583.8486158297101,.9989873327772469,359.9931255022823,14107.7769498666
"2006 WY182",6.334718700505952,.5585605151286649,359.820386954604,15.9440704191222
"2006 XA1",251.9599749090672,.9928386465672322,359.968481376658,3999.49848769745
"2007 B1",5.829488893147911,.5809719057579803,1.19284548743097,14.0751788175703
"2007 B2",737.2415903938067,.9959648001710428,359.9917360681077,20018.1040937212
"2007 C2",7.028334234757202,.462250758337214,.49520195439859,18.6331728096477
"2007 D2",55.88932776873455,.977711138582276,.2185729711349223,417.831839857587
"2007 D3",651.9494072232389,.9920101645906669,.01079357952227502,16646.734172249
"2007 E1",65.00054138830835,.9802176607285894,359.9927957242817,524.063198450036
"2007 E2",1333.408826936133,.9991803423063073,.0009817259831152794,48691.5041684831
"2007 H2",49.82208301786071,.9716901175219284,.1848221654020217,351.674617560886
"2007 K1",435.7407084980567,.9787968993482121,.008912087729697994,9095.99902420371
"2007 K2",7.178524871375155,.6839804493496225,359.3114437548213,19.2336193349103
"2007 K5",49.15274955588096,.9766208669695965,.1259652852878475,344.6116280545
"2007 K6",223.6987679000903,.9846535094132141,.003099251937008037,3345.82783884522
"2007 M1",1564.375640224552,.9952219604258939,.0007219605222587324,61875.6493008885
"2007 M2",5360.308439893734,.9993393943782769,359.9995038333875,392457.716664457
"2007 M3",171.446207917116,.979767653418359,359.992700332495,2244.91565166287
"2007 N3",72415.00007135335,.9999832595682161,359.9999981974103,19487270.1344466
"2007 Q2",5.593632313453447,.6712303064945121,1.573405261647186,13.2296719544288
"2007 R1",6.024335019482472,.2776081420523336,6.988631208777594,14.7867208925545
"2007 R2",3.438494917242431,.5737076704556389,6.078830816779082,6.37618313602343
"2007 R3",4.28041144442244,.4159769607489224,9.27899378823882,8.85597694144217
"2007 R4",5.84761811815059,.6714277317998577,1.583250807724969,14.1408887906117
"2007 S1",3.79887024906496,.3433861588491829,350.8363051489168,7.40440035380874
"2007 S2",12.54770629157038,.5570560569859299,357.4741195381554,44.4482553425452
"2007 T1",4036.45666022973,.9997600611403082,359.9999556873789,256453.507312898
"2007 T2",3.09044443697569,.7748340854540736,9.973973942975283,5.43299883622786
"2007 T4",5.250738041522367,.6174199052757361,9.689296555737503,12.0320251263736
"2007 T5",46.87954351443507,.9136242840667617,359.627724082325,320.983910320532
"2007 T6",4.490091300445547,.5028611749619009,12.46711996589385,9.51460931493978
"2007 V1",4.967523600618132,.4611653309388188,358.9744715503282,11.0717969102821
"2007 VQ11",5.411347908045612,.5022748249377793,357.9022256449824,12.5882797935718
"2007 VO53",12194.41420331768,.9996028729186953,359.9998232924877,1346634.1257655
"2007 Y2",1210.577318239244,.9965231818915697,359.9993120419127,42120.8378229647
"2008 C1",101627.5424194194,.9999875787277857,359.9999986963771,32398532.3760615
"2008 CL94",6.170602681041615,.1194139539795052,54.79910683304961,15.3284971532505
"2008 E1",10.68698506436372,.5481507124931009,3.50265182204163,34.9374340897504
"2008 E3",3738.525933452089,.9985205316521539,2.922730035249075E-5,228590.826918959
"2008 G1",365.2187576144028,.9890754766884726,359.9648395557649,6979.71700601249
"2008 H1",51.60662048666948,.9465134367722432,.1610564673008781,370.737341990063
"2008 J1",166.0672287193344,.9896168954220333,.009551125036933741,2140.10021079001
"2008 J3",3.893296896580158,.4125480458453502,344.6437542316098,7.6821801556576
"2008 J5",72.4018926912193,.9728758694809303,.1342693667297663,616.074284633652
"2008 L2",6.000689663293179,.6138147332698602,2.641742454065394,14.6997501371418
"2008 L3",327.0680996092898,.993850576259694,.01076092714028837,5915.14620492478
"2008 N1",973.1159547942415,.9971395888485405,359.9968545200001,30356.7372708902
"2008 O2",4.498421158245883,.1543834216942035,344.3115684526168,9.54109833839603
"2008 O3",8.186392096869556,.6949484948780041,3.615280804573152,23.4232425203658
"2008 Q1",593.6247747927312,.9950151295950933,.0006723519961569739,14463.5942184209
"2008 Q3",8926.032828482492,.9997985410653186,7.702763778490791E-5,843326.838782386
"2008 QP20",3.490344250856611,.5063144157253593,.8010426969768827,6.52094590099347
"2008 R3",18.42820062350314,.8964068918001162,359.7322159235792,79.1102213678512
"2008 T1",4.241864893243271,.2793338148184269,203.7253656066075,8.73662007003326
"2008 T4",4.446890597979445,.4351695373854378,356.2183923643173,9.37762517462669
"2008 WZ96",3.356687269335557,.5095645495704676,357.770014703267,6.14999162622968
"2008 X3",43.76884148088445,.9565415549715973,.3009309853938811,289.571475709672
"2008 Y1",4.797782060333667,.734881759064938,356.1456656502754,10.5091835315143
"2008 Y3",8.028078069178731,.4476584684361328,1.691475580816303,22.7470762273062
"2008 Y12",3.078224129104039,.9787495374822994,119.2654854953976,5.40080577627972
"2009 B1",6.688343414831887,.6371907561376727,359.5896952786609,17.2976078949181
"2009 B2",41.79126298868307,.944303776369533,.01315712419299685,270.16957943366
"2009 E1",40.17714974338087,.9850730694214023,.08158286076162442,254.669471942466
"2009 F1",106.0419693453377,.9827361998984089,359.917065262625,1092.00563425365
"2009 F2",346.1407805014679,.9830270582313303,.03610186717642501,6440.02206258395
"2009 F5",80.18346392440269,.971997458525133,.251442355168156,718.018150953273
"2009 F6",512.1897873070631,.997512330328695,.001153513663202778,11591.8986219507
"2009 K1",3.671873807451877,.6397075026628116,.4319744649310593,7.03622669331732
"2009 K2",1459.566848462005,.997775934135385,359.9968805560636,55762.7506137723
"2009 K4",41.5872180197963,.9627547942753083,359.9618330833264,268.193350581903
"2009 O2",278.3163630860368,.9975008681159392,359.9691323155565,4643.18847922894
"2009 O3",7.824366030917391,.6868773563570231,5.061472418763081,21.8867834345528
"2009 Q1",5.540909589444346,.4964939268527312,5.437923577276283,13.0430691890642
"2009 Q4",3.138937041964016,.5791972224164338,4.090153687660332,5.56137409891872
"2009 Q5",7.465378651273384,.6090609774943676,1.421896876627269,20.3979237005696
"2009 S2",4.160471895748858,.4703388043747543,9.10123102069219,8.48637251053501
"2009 SK280",4.775140416736892,.1205785866433164,19.59306208811871,10.4348791227125
"2009 T1",3680.100152492775,.9983097163958276,.0007670611920178346,223253.182872709
"2009 T2",7.596020098082441,.768990889739842,357.3239763306935,20.935693905721
"2009 T3",4300.58059387198,.9994695738467504,359.9998565180216,282032.29312917
