name,a,e,M,w,per
Ceres,2.768111631248674,.07575441922782949,181.3812852768417,72.73328753973139,4.60557228015694
Pallas,2.772362124937357,.2310235760531635,163.6044154597673,309.9894453039298,4.61618428109082
Juno,2.669763260931873,.2562656128667447,123.4667771498561,248.2939774591857,4.36231809681893
Vesta,2.361669464000333,.08892237917993467,129.5297452578941,151.1375865599384,3.62941703816158
Astraea,2.574181078191351,.1914020813390989,355.6652226479048,358.9465078582529,4.13015968089587
Hebe,2.427071447409957,.2016652362719502,133.2648504127497,239.6412337553613,3.78122085020992
Iris,2.385262912263827,.2313383819528605,179.2420629724005,145.3833778287617,3.68394031614312
Flora,2.201044893073422,.1569539853941253,192.5840093835972,285.3995166773045,3.26551402391772
Metis,2.38636264139954,.1220962766364559,316.5773543676037,5.904602240597471,3.68648833930562
Hygiea,3.14391529716374,.1140558191698366,300.1210728568821,311.8217676947241,5.57460958923546
Parthenope,2.45253981414372,.1002355468480959,330.5195444026755,196.0047380986233,3.84089382352421
Victoria,2.33344430841378,.2210755802936569,161.8088385860388,69.51034944077062,3.56454714026015
Egeria,2.576904746897327,.08372584202150492,261.8632483398981,80.29430285432822,4.13671642345944
Irene,2.585974261922342,.1663742774718338,240.2780377392013,98.06442736943042,4.15857462600848
Eunomia,2.643534361120011,.1872519273396768,9.241575876393171,97.54200494131724,4.29819032230777
Psyche,2.921805066540019,.136046138482136,53.59674337581659,227.1028933070689,4.99441997658038
Thetis,2.470620807994413,.1323497797694598,358.9976718459586,136.0506692515677,3.88344666059066
Melpomene,2.295238060735008,.2189370020333867,287.2366369364971,227.8823825140083,3.47736122981162
Fortuna,2.441595052419793,.1588254244973407,247.2267296159345,182.2034813392103,3.81521183482523
Massalia,2.408591907567839,.1427100337898993,161.5426096916032,256.5925324149812,3.73811825882059
Lutetia,2.434787111561931,.1646283967266682,32.84807312893408,250.0939323360087,3.79926593360136
Kalliope,2.910520251816181,.09949575911264123,319.6955508846409,354.9130367886577,4.96551319778953
Thalia,2.624951408798261,.23563363248023,57.61561529131694,60.74031672811794,4.25294831592597
Themis,3.136106936521681,.1256687130049861,142.5147475854228,106.836160514623,5.55385448638203
Phocaea,2.400794108665532,.2548171223035586,215.0435748642067,90.11179516914225,3.71997976317762
Proserpina,2.654206871275174,.09061556354540655,191.5813078048142,194.1631225622773,4.32424563787556
Euterpe,2.34665234065878,.1722078992532926,6.155915079207224,356.612437349586,3.59485462190262
Bellona,2.776760946976171,.1519793778891468,17.15900273510806,344.5827523304419,4.62717517517882
Amphitrite,2.554564982609703,.07187535400808896,355.9786342770824,62.0067934062003,4.08303999725365
Urania,2.365470813140096,.1265853785624697,64.60655117684833,86.78251151478932,3.63818344166411
Euphrosyne,3.155978440143127,.2216588309516034,236.2108359819167,61.45725796907618,5.60672485235704
Pomona,2.58797577736266,.08028921214627495,108.2885745733498,339.0735343854039,4.16340359615912
Polyhymnia,2.867732955772606,.3363902605894123,99.45135153478888,338.1374735347565,4.85642026989107
Circe,2.687884854748732,.1046393829962418,218.4099956679429,330.5534008280672,4.40680864341161
Leukothea,2.993356893911458,.2264357664345414,346.9947304604829,213.2352437787261,5.17900049675097
Atalante,2.748933269393624,.3020037230499809,41.22715200723933,47.00958407140966,4.55779196470958
Fides,2.644145884937961,.1739369566809978,65.99018278761275,63.07003220314259,4.29968184694842
