rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1536,Kepler-1608,b,Transit,1,16.47356860,,,,,,0.154,,0,1,0,1,19h42m15.25s,295.563558,+39d25m03.4s,39.417606,832.00,15.889,Kepler-band,4992.00,0.75,0.72,2016-05-10
1537,Kepler-1609,b,Transit,1,114.34219000,,,,,,0.198,,0,1,0,1,19h20m35.17s,290.146555,+39d39m57.0s,39.665821,1483.00,15.015,Kepler-band,6132.00,1.18,1.27,2016-05-10
1538,Kepler-161,b,Transit,2,4.92135500,0.054000,,,,,0.189,,0,1,0,1,19h22m03.96s,290.516491,+43d05m01.8s,43.083824,,14.196,Kepler-band,5078.00,0.77,0.81,2014-05-14
1539,Kepler-161,c,Transit,2,7.06424000,0.068000,,,,,0.183,,0,1,0,1,19h22m03.96s,290.516491,+43d05m01.8s,43.083824,,14.196,Kepler-band,5078.00,0.77,0.81,2014-05-14
1540,Kepler-1610,b,Transit,1,8.70181574,,,,,,0.144,,0,1,0,1,19h43m37.20s,295.905010,+45d24m19.6s,45.405434,1063.00,15.850,Kepler-band,5383.00,0.91,0.87,2016-05-10
1541,Kepler-1611,b,Transit,1,5.17624290,,,,,,0.072,,0,1,0,1,19h46m02.89s,296.512049,+49d43m40.0s,49.727764,686.00,14.435,Kepler-band,5605.00,0.94,0.93,2016-05-10
1542,Kepler-1612,b,Transit,1,3.91795101,,,,,,0.092,,0,1,0,1,19h25m00.07s,291.250279,+45d39m18.3s,45.655075,837.00,14.750,Kepler-band,5643.00,0.96,0.94,2016-05-10
1543,Kepler-1613,b,Transit,1,1.51842990,,,,,,0.186,,0,1,0,1,19h19m30.01s,289.875041,+43d25m15.5s,43.420963,855.00,14.118,Kepler-band,6005.00,1.08,1.12,2016-05-10
1544,Kepler-1614,b,Transit,1,3.94661410,,,,,,0.133,,0,1,0,1,18h59m29.12s,284.871334,+49d46m33.3s,49.775913,982.00,15.923,Kepler-band,5121.00,0.79,0.76,2016-05-10
1545,Kepler-1615,b,Transit,1,47.31261920,,,,,,0.184,,0,1,0,1,19h05m26.21s,286.359226,+42d13m38.9s,42.227478,940.00,14.553,Kepler-band,5865.00,1.04,1.05,2016-05-10
1546,Kepler-1616,b,Transit,1,6.76284377,,,,,,0.091,,0,1,0,1,19h06m10.47s,286.543637,+45d18m17.5s,45.304874,862.00,13.499,Kepler-band,6266.00,1.21,1.34,2016-05-10
1547,Kepler-1617,b,Transit,1,27.47855720,,,,,,0.107,,0,1,0,1,19h11m44.93s,287.937219,+46d25m06.6s,46.418491,813.00,13.630,Kepler-band,6167.00,1.15,1.22,2016-05-10
1548,Kepler-1618,b,Transit,1,6.10826019,,,,,,0.112,,0,1,0,1,19h40m42.09s,295.175391,+45d55m51.3s,45.930908,1238.00,13.606,Kepler-band,6620.00,1.41,1.65,2016-05-10
1549,Kepler-1619,b,Transit,1,23.62259130,,,,,,0.068,,0,1,0,1,19h02m48.83s,285.703472,+44d25m19.2s,44.422001,520.00,13.341,Kepler-band,5852.00,1.00,1.00,2016-05-10
1550,Kepler-162,b,Transit,2,6.91979800,0.069000,,,,,0.112,,0,1,0,1,19h49m06.94s,297.278910,+43d43m26.5s,43.724018,,14.248,Kepler-band,5816.00,,0.96,2014-05-14
1551,Kepler-162,c,Transit,2,19.44635500,0.137000,,,,,0.270,,0,1,0,1,19h49m06.94s,297.278910,+43d43m26.5s,43.724018,,14.248,Kepler-band,5816.00,,0.96,2014-05-14
1552,Kepler-1620,b,Transit,1,101.95182900,,,,,,0.144,,0,1,0,1,19h49m05.01s,297.270876,+46d55m42.3s,46.928417,773.00,13.658,Kepler-band,6157.00,1.15,1.23,2016-05-10
1553,Kepler-1621,b,Transit,1,92.26371400,,,,,,0.193,,0,1,0,1,19h50m21.24s,297.588518,+43d50m28.4s,43.841221,1461.00,15.015,Kepler-band,6158.00,1.15,1.24,2016-05-10
1554,Kepler-1622,b,Transit,1,10.81187370,,,,,,0.131,,0,1,0,1,19h49m18.94s,297.328910,+47d48m55.7s,47.815472,927.00,13.385,Kepler-band,6436.00,1.31,1.50,2016-05-10
1555,Kepler-1623,b,Transit,1,4.36128348,,,,,,0.117,,0,1,0,1,19h36m19.85s,294.082695,+39d33m22.0s,39.556103,986.00,14.951,Kepler-band,5772.00,1.00,1.00,2016-05-10
1556,Kepler-1624,b,Transit,1,3.29030452,,,,,,0.509,,0,1,0,1,19h30m19.17s,292.579860,+37d22m35.1s,37.376411,199.00,15.669,Kepler-band,3636.00,0.50,0.47,2016-05-10
1557,Kepler-1625,b,Transit,1,287.37894900,,,,,,0.541,,0,1,0,1,19h41m43.04s,295.429347,+39d53m11.6s,39.886547,1213.00,15.756,Kepler-band,5677.00,0.96,0.94,2016-05-10
1558,Kepler-1626,b,Transit,1,4.13962966,,,,,,0.180,,0,1,0,1,19h46m00.11s,296.500445,+40d43m16.4s,40.721230,1718.00,14.275,Kepler-band,6826.00,1.51,1.85,2016-05-10
1559,Kepler-1627,b,Transit,1,7.20283653,,,,,,0.329,,0,1,0,1,18h56m13.60s,284.056684,+41d34m36.2s,41.576733,311.00,13.028,Kepler-band,5445.00,0.87,0.84,2016-05-10
1560,Kepler-1628,b,Transit,1,76.37803300,,,,,,0.574,,0,1,0,1,18h46m32.09s,281.633700,+43d24m41.7s,43.411579,352.00,16.595,Kepler-band,3724.00,0.55,0.52,2016-05-10
1561,Kepler-1629,b,Transit,1,3.87595807,,,,,,0.069,,0,1,0,1,18h40m49.59s,280.206621,+43d46m27.5s,43.774297,390.00,12.750,Kepler-band,5776.00,1.01,1.01,2016-05-10
1562,Kepler-163,b,Transit,2,7.81093700,0.078000,,,,,0.094,,0,1,0,1,19h40m00.68s,295.002819,+46d59m14.4s,46.987328,,14.415,Kepler-band,5776.00,0.96,0.92,2014-05-14
1563,Kepler-163,c,Transit,2,21.34726200,0.152000,,,,,0.202,,0,1,0,1,19h40m00.68s,295.002819,+46d59m14.4s,46.987328,,14.415,Kepler-band,5776.00,0.96,0.92,2014-05-14
