id,name,semimaj,ecc
1,Mercury,0.387,0.2056
2,Venus,0.723,0.0067
3,Earth,1,0.0167
4,Mars,1.524,0.0934
5,Jupiter,5.20260,0.048498
6,Saturn,9.554909,0.05555
7,Uranus,19.2184,0.046381
8,Neptune,30.110387,0.009456
