pdes,a,e,M,per,pha
2062,.9667898316324987,.1827171340905242,172.267762763347,0.950618612525843,N
2100,.8320233319213325,.4365418005751031,81.74947088984433,0.758947019798869,N
2340,.8438292455376517,.4498841655895494,42.10443294792183,0.775157693810369,Y
3362,.9895059032162825,.4685335922027844,35.75890525673795,0.984318814687984,Y
3554,.9736750968684723,.2804802739544784,184.780967450566,0.96079181784076,N
3753,.9977056598499723,.5149117672620216,24.06662551867464,0.996579286156295,N
5381,.9474585173798797,.2962263520571517,19.19323660110688,0.922249670521711,N
5590,.9856465912491561,.2794398364452267,42.80031245488757,0.978565811743079,N
5604,.9287201187573495,.4060052576182149,345.6756320050963,0.895025652407126,Y
33342,.7184637904561455,.4179133701014367,147.508827841209,0.608997528406111,Y
65679,.9150592345534401,.2647241790926552,191.723490633048,0.875350561218015,Y
66063,.9909244156023879,.7201288248287987,109.4793444476686,0.986436187682649,N
66146,.7871319394742071,.4838035036714729,35.9736762124522,0.698360239049128,N
66391,.6422802960920856,.6884706578404457,290.0884003744377,0.514748512907551,Y
66400,.8551732241289675,.5724750177266913,199.5879956424058,0.79084130474199,N
68347,.9628481456557052,.3798059772446632,251.1359020815898,0.944810910457441,Y
85770,.9982556498621751,.345086690975016,193.8633466829755,0.997403453351723,N
85953,.7388021145875681,.7030893184833827,36.84781253812671,0.635038998957846,N
85989,.8830387012778613,.6328037176993085,137.8322907628092,0.829808366455316,Y
86450,.9680810578059453,.4149120047679359,4.766501642164018,0.952523690568232,N
86667,.8593541511557897,.594682419924951,95.395573869269,0.796648001616582,N
87309,.8474698556697348,.4631428898665187,146.5609463305119,0.780179601923852,N
87684,.8586213798944603,.6427380144216435,178.991388991703,0.795629266268691,Y
88213,.9539438797937294,.5952988804327077,169.3159388809247,0.931735067724838,N
96590,.9078030389563588,.3511389825368473,111.615939390634,0.864959256363244,N
99907,.7284224328851404,.5946866924157996,208.0519410097369,0.621703296842652,N
99942,.9222788903126814,.1910795219761208,215.5399783483177,0.885730510175559,Y
105140,.9142865414455155,.8170439864119171,28.13247771403152,0.874242051768104,N
136818,.9376105895592123,.3463719945746455,320.7249386302536,0.907908240289539,N
137170,.8191088111195628,.4624376277933159,314.9455357526695,0.741345402726256,N
137805,.8292764212887846,.5583122615947727,234.767268017177,0.755191647964588,N
137924,.8764971231010167,.8949711689071381,328.9486666627943,0.820604595420282,N
138127,.661835003845417,.5330659639649776,338.4759498385599,0.538434403534498,Y
138258,.7577730640438527,.4767154180205443,118.5594561044382,0.659655135465751,N
140333,.9619711343469357,.4815469080139355,152.867101064279,0.943520331340966,N
141424,.9796140683492002,.176572901545818,267.2740462572469,0.969595792959552,N
141432,.9784455193305095,.428327015712194,218.0116902502763,0.967861412610819,Y
141484,.8579030539730234,.3695326269066323,270.4904896679946,0.794631035404074,N
141498,.9216065187344266,.5664599789054126,4.731581963615717,0.88476209681593,N
141531,.9920896452200714,.5289255054054315,50.06687451581632,0.988176626933297,N
144900,.9683031431071335,.6554928230972387,319.6848159578574,0.952851483846783,Y
152563,.9081218899358018,.2716634456817379,74.9904713501368,0.865415000577194,N
152637,.8655382100751831,.2083918866454957,155.9084025466969,0.805262675650724,Y
152742,.8782342594063951,.7390679923192526,25.05412814204193,0.823045347479254,N
152931,.929796727943251,.4558260344497372,59.20596167289114,0.896582427194853,N
153201,.91136938162617,.7806315249848718,194.2077235094334,0.870061302662426,Y
153415,.8915108662071598,.2137884258133989,143.5375537433754,0.8417791484041,N
162004,.8907722773198744,.6645800718052025,110.8399054739691,0.840733283525221,N
162015,.9930940083308725,.2840607211278457,39.13712380058492,0.989677609185909,N
162080,.896729586148198,.358241389190492,209.3625515354821,0.849181355956519,N
162117,.9324530883651769,.344872147789926,184.9395184431773,0.900427374548139,N
162142,.875546718931985,.3179927975530059,184.7337922462557,0.819270259198174,N
162361,.877883776462743,.4114756716306711,310.8580195255444,0.822552709146065,Y
162385,.7405755259363188,.3587304628545213,138.2840014910051,0.637326880033687,N
162421,.946610441223931,.1236911991904678,207.2840735994523,0.921011680323559,Y
162483,.8726679341012111,.3736611446213278,113.5056407769538,0.815232959418846,N
162694,.8703152652249246,.4224046966897918,78.89071439189787,0.811938441771778,N
163023,.7973630039858369,.5463246484676385,45.98942765759529,0.712020215823228,N
163243,.7615199849168532,.6018174307688326,43.81604779008225,0.664553822008187,Y
163348,.8764297000978445,.4343434238613783,321.8130667312259,0.820509911888346,Y
163899,.8276271711327472,.2106330349476356,257.1629620494743,0.752939900931537,Y
164202,.9885754022007008,.2790956403877939,108.8399615135885,0.982930706294723,Y
168044,.980943642453218,.2831079630703509,319.0638510062097,0.971570427904034,N
