id,name,epoch_mjd,a,e,i,om,w,ad,ma
a0000001,Ceres,57400,2.768111631248674,.07575441922782949,10.59166290685243,80.32179957797966,72.73328753973139,2.977808320231717,181.3812852768417
a0000002,Pallas,57400,2.772362124937357,.2310235760531635,34.84094763049666,173.0882886704095,309.9894453039298,3.412843137154732,163.6044154597673
a0000004,Vesta,57400,2.361669464000333,.08892237917993467,7.140050248842358,103.8460634268481,151.1375865599384,2.571674731575844,129.5297452578941
a0019308,,57400,43.1568153867015,.1209021336331305,27.49481763384048,355.2888628656519,239.0661403279746,48.37456644776483,137.1587694279217
a0019521,Chaos,57400,45.79632929444582,.1056719110658963,12.05023014913271,50.02394264915865,58.40969545868838,50.635714930793,337.2997630655622
a0020000,Varuna,57400,43.12330275410432,.05046443418602523,17.1651906547657,97.29011197957321,270.8902369156037,45.29949582782285,105.1190953941048
a0024835,,57400,41.76168186107647,.1051228339325859,27.09199617098518,21.10315811606591,72.36935309323427,46.15178820810389,327.6553298811133
a0028978,Ixion,57400,39.50474410335125,.2417074603481081,19.61928373587349,71.01941225283342,299.7303873127732,49.05333547227418,280.5399639048488
a0038628,Huya,57400,39.6281223960649,.2799749844403038,15.46344135982826,169.2250804203462,67.57602545227414,50.72300534730162,1.531882809823237
a0042301,,57400,51.35060295272906,.282870022633197,.752381278273171,302.0846106871918,342.2027952977667,65.87614917219585,77.67492397351113
a0050000,Quaoar,57400,43.37281234938541,.03470451637420009,7.986981560132253,188.772212673791,155.2488585111913,44.87804482575976,287.5399588895973
a0055565,,57400,47.52805744856286,.1314194255743051,24.35111408471979,297.4383278185368,293.2895966183704,53.77416745711557,293.889266454837
a0055636,,57400,43.11599302857989,.1217367771203113,25.87837644642438,324.6984486188419,338.9584545778367,48.36479506222102,73.76179517857605
a0055637,,57400,42.60210085819981,.1435655393269803,19.47307929954077,204.6653553966094,278.3183708584945,48.71829444436968,294.4677984747324
a0082075,,57400,58.21605705220406,.2916537006466445,19.77744627483838,126.9456971994572,317.0915182711452,75.19498552853555,29.64866692580625
a0084522,,57400,55.26549938666325,.2946905879110285,35.10713494464965,23.90193998542519,87.14195669354368,71.55172189211562,322.0558475638082
a0084922,,57400,39.43461797137243,.07553905525928607,14.77658955382468,302.7921585480952,114.3165295051033,42.41347175744077,15.53534555254901
a0090377,Sedna,57400,507.5603421917792,.8501823804557087,11.92871968509815,144.5463480066588,311.4613873591478,939.0792021413,358.0957123454039
