pdes,a,e,M,per,pha
163693,.7410387307362212,.3221370411637515,234.7936638073533,0.637924912947662,N
164294,.6175935579768422,.4545421268063333,115.5620496971716,0.485358162995227,N
413563,.6814637358883883,.3723556884079943,305.7574931852835,0.562564505082375,N
418265,.615921430159532,.3049800430966406,312.1375878785756,0.483388344923558,N
434326,.6352110509347895,.5311396533305017,227.4571369641137,0.506273586494662,Y
"1998 DK36",.6922726670833339,.4159873368202021,183.252918146231,0.576001984094314,N
"2006 WE4",.7847161049097428,.1830213499657233,251.920840462318,0.695147637304186,N
"2007 EB26",.5476020828974312,.7886662681260697,237.9128594902841,0.405233965360817,N
"2008 UL90",.694822978134339,.3801573255677069,319.1957401339565,0.579187873965958,Y
"2010 XB11",.6180198724284315,.533875416113855,315.3323010616683,0.48586080158291,N
"2012 VE46",.7128927761790175,.3614742629199986,303.5623757168664,0.60192796851248,Y
"2013 JX28",.6008245039669771,.5641338612406195,78.30881630497448,0.46572511341179,N
"2013 TQ5",.7736971747701189,.1556338983938636,302.8724913056758,0.68055733438748,N
"2014 FO47",.752344079792108,.2709106064355332,110.00995426241,0.652578804606703,Y
"2015 DR215",.6662098430285909,.4718091694426733,48.52942660039317,0.543781927392262,Y
"2015 ME131",.8048874541754941,.1989225453467638,189.743136625493,0.722122603680921,N
