a,e,M,per,diameter
2.768111631248674,.07575441922782949,181.3812852768417,4.60557228015694,952.4
2.772362124937357,.2310235760531635,163.6044154597673,4.61618428109082,545
2.669763260931873,.2562656128667447,123.4667771498561,4.36231809681893,233.92
2.361669464000333,.08892237917993467,129.5297452578941,3.62941703816158,530
2.574181078191351,.1914020813390989,355.6652226479048,4.13015968089587,119.07
2.427071447409957,.2016652362719502,133.2648504127497,3.78122085020992,185.18
2.385262912263827,.2313383819528605,179.2420629724005,3.68394031614312,199.83
2.201044893105776,.1569539854065083,192.584009357553,3.26551402398973,135.89
2.38636264139954,.1220962766364559,316.5773543676037,3.68648833930562,190
3.14391529716374,.1140558191698366,300.1210728568821,5.57460958923546,407.12
2.45253981414372,.1002355468480959,330.5195444026755,3.84089382352421,153.33
2.33344430844984,.2210755804782413,161.8088385186013,3.56454714034278,112.77
2.576904746989896,.0837258426513825,261.863248753811,4.13671642368234,207.64
2.585974262126451,.166374278154315,240.2780380053454,4.15857462650083,152
2.643534361120011,.1872519273396768,9.241575876393171,4.29819032230777,255.33
2.921805066540019,.136046138482136,53.59674337581659,4.99441997658038,253.16
2.470620807999363,.1323497797409334,358.9976718217645,3.88344666060232,90.04
2.295238060722328,.2189370020904176,287.2366369661818,3.47736122978281,140.57
2.441595052446162,.1588254245822182,247.2267295793897,3.81521183488703,200
2.4085919075552,.1427100337798478,161.5426096698924,3.73811825879116,145.50
2.434787111561931,.1646283967266682,32.84807312893408,3.79926593360136,95.76
2.910520251816181,.09949575911264123,319.6955508846409,4.96551319778953,181.00
2.624951408780895,.2356336327516953,57.61561526686349,4.25294831588376,107.53
3.136106936299914,.125668713773715,142.5147476245595,5.55385448579293,198
2.400794108697192,.2548171223691837,215.0435748769543,3.71997976325121,75.13
2.654206871676377,.0906155633884064,191.5813087125931,4.32424563885602,94.80
2.346652340942842,.172207898546176,6.155913725496386,3.59485462255535,96
2.776760946355688,.1519793789158823,17.1590036327485,4.62717517362787,120.90
2.554564982609703,.07187535400808896,355.9786342770824,4.08303999725365,212.22
2.36547081316423,.1265853782579858,64.60655122562157,3.63818344171979,100.15
3.155978440209072,.2216588300244051,236.2108354315536,5.60672485253277,255.90
2.58797577736266,.08028921214627495,108.2885745733498,4.16340359615912,80.76
2.687884854748732,.1046393829962418,218.4099956679429,4.40680864341161,113.54
2.993356894460747,.2264357660986145,346.9947298078656,5.17900049817651,103.11
2.748933269626329,.3020037224782597,41.22715176451307,4.55779196528832,105.61
2.644145884987982,.1739369565984871,65.99018279004574,4.29968184707043,108.35
2.738482386005087,.1555373789061188,103.8137684468299,4.53182499156934,115.93
2.768164817263826,.1136641226697552,45.78671472172849,4.60570501679097,149.52
2.267393624372405,.0465237296045108,121.9430173202879,3.41427567501343,107.62
2.759558463227792,.2756317747805264,236.3259384316442,4.58424269143988,174.00
2.442861475095823,.2221441882980652,253.5777211170876,3.81818056867809,100.20
2.20286311571304,.1688058563925319,136.2351550695787,3.2695611864032,65.88
2.422867337510738,.1485711494762311,129.2419779558293,3.77140050761928,70.64
2.720623670998036,.08354918314274663,134.2268118673889,4.48756663917312,214.63
2.526853502998644,.1714420415281817,136.055244897765,4.01678233301439,124.14
2.880938208343909,.1321454955213026,171.3762397334181,4.89000290831967,126.96
3.110547402710373,.07316161906050961,213.3441660766267,5.48609644773456,221.80
3.092656675296465,.2271873342235751,25.35756334172592,5.43883354986961,149.80
2.649132642931582,.285811691914486,244.0377161329277,4.31185113338026,99.82
2.365639030595445,.06692148047417361,131.2762851809039,3.6385715357621,147.86
3.096338950130998,.10827495119462,19.1427680206231,5.44855006977762,302.50
2.616386172489107,.2062499894970235,144.878218133159,4.23214920214454,115.38
2.709748819070089,.1982673212162323,112.9972754410693,4.46068705453014,165.75
2.760959383741583,.1421669329765214,104.6346321344472,4.58773399704916,66.70
2.596411744913079,.2372597211270825,323.8374934547867,4.18377720878557,113.24
3.152718888209736,.1142375038051154,291.4549695729335,5.59804100442893,112.59
2.699571933157642,.04325515689323029,32.7746289428995,4.43558145063427,93.43
2.712172510805667,.1192903403996908,254.0152206257662,4.46667307844774,164.80
2.393191431875489,.1834052222928199,249.2119859194038,3.7023234791801,60.20
2.982636098506694,.1672115822881459,42.12568900100594,5.15120231097138,82.04
3.127080236040783,.170981760787416,28.8495492387929,5.52989314352724,95.39
2.394486258006329,.1277394420866666,180.462763814084,3.70532857531771,103.14
3.428985522698463,.1109464713802534,74.97727358575561,6.34975077174226,237.26
2.648227376289812,.1713058513764523,104.1170202865077,4.30964114126101,71.82
2.421404122494518,.1848598277797836,324.4890899513525,3.76798459425671,58.11
2.781449623468918,.1871691071406844,6.192563865631161,4.63889988807797,122.57
2.976223886349304,.1707689984214518,70.29199431422442,5.13459979463706,138.13
2.61454051298054,.1820290666628936,150.9004526965757,4.22767180763595,122.17
2.755786874853351,.1733307186276851,5.888383419313193,4.57484772790694,83.42
2.2662830489533,.1210366640003961,19.89159613598162,3.41176750026358,85.90
2.66456098630275,.04374056198548109,244.1997940414143,4.34957375454927,44.44
2.778009467653309,.239827829721704,19.92129459546519,4.63029631524432,118.71
2.671894517896941,.3055779118137641,51.0456094530845,4.36754276010465,55.91
3.412478188262162,.1658926957407879,95.96257362874533,6.30395389909943,183.66
2.66899727838247,.1304458198455501,13.17891706740458,4.36044084056567,69.25
2.619494656142512,.2078962017335623,38.93459411202998,4.23969365799811,120.60
2.444740734938187,.1913106975085629,279.818933428011,3.82258732687037,66.47
2.296174139440913,.1998574357849799,117.8124512240877,3.47948873178025,78.39
2.857732575854529,.2083460978155944,101.7235166180344,4.83103941127706,119.08
2.764830606174799,.2186710979257751,278.2020608008577,4.59738627385604,60.96
2.431655144211747,.08204117043790081,277.4744088981301,3.79193756223332,81.37
2.36273446157975,.2361581305140866,142.12501075064,3.63187234963988,79.16
2.652403087027575,.1938604179471868,306.7697590397394,4.31983828691411,154.79
3.11289040218702,.2119363248303739,135.962906036149,5.4922961642172,120.56
3.479434329710219,.09211253897064714,270.6230216252966,6.49039559802491,260.94
2.767700555084209,.16393187265612,152.7149039756805,4.60454639810268,232
2.550954194317256,.1839816093550994,207.021783860527,4.07438620558123,151.46
3.148684523165271,.1652257636004839,293.6196776113165,5.58729917405239,120.07
2.590195691997883,.1064833217337029,244.5576037566676,4.16876167313206,109.81
3.187581780481767,.1038751250273814,331.4358259862573,5.69115227586559,126.42
2.755361050295288,.1405732821087545,218.8080468892094,4.57378740974158,141.55
3.162850799013323,.09129677967673396,97.36537235062184,5.62504835864824,204.89
3.064202218455439,.1524848345026552,213.3760783948925,5.36394524900266,136.04
3.051315783405268,.139275848493961,242.1268275560338,5.3301439184009,170.02
2.670849558071196,.254599487227578,39.97294400044736,4.36498083610261,82.83
2.688671098853618,.1858697570775444,217.3569789569045,4.40874236501976,104.45
2.665585280754839,.1950621745556221,332.9166933455566,4.35208205090226,69.04
3.089806072706367,.1683974088943969,28.31771627111944,5.43131555735158,88.66
2.585514768380768,.139795410027504,189.1787584579926,4.15746628939872,65.84
2.66104486415848,.2529919080622454,338.4886812051359,4.34096712878116,83.00
2.701366409383459,.08121852858715131,88.84472068840667,4.44000485640438,91.20
3.15283170265218,.1568376539010452,66.32308905334921,5.59834148103977,123.68
2.373080089119425,.1777828069209891,202.9417229282251,3.65575258264074,119.08
