id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
670,K2-22,b,Transit,1,0.381078,0.0088,,,1.4,Mass,0.223,,0,0,1,,11h17m55.88s,169.482818,+02d37m08.7s,2.61907,225,15.597,V (Johnson),3830,0.6,0.57,15/10/15
671,K2-24,b,Transit,2,20.8851,0.154,0,89.25,0.06607,Mass,0.507,0.63,0,0,1,,16h10m17.69s,242.573719,-24d59m25.2s,-24.990331,181,11.28,V (Johnson),5743,1.12,1.21,11/02/16
672,K2-24,c,Transit,2,42.3633,0.247,0,89.76,0.08495,Mass,0.698,0.31,0,0,1,,16h10m17.69s,242.573719,-24d59m25.2s,-24.990331,181,11.28,V (Johnson),5743,1.12,1.21,11/02/16
673,K2-25,b,Transit,1,3.484552,,0.27,88.3,,,0.306,,0,0,1,,04h13m05.62s,63.273432,+15d14m51.9s,15.247763,45.7,15.881,V (Johnson),3180,0.29,0.29,05/01/16
674,K2-26,b,Transit,1,14.5665,0.0962,,88.4,,,0.238,,0,0,1,,06h16m49.58s,94.20658,+24d35m47.1s,24.59641,93,14.53,V (Johnson),3785,0.56,0.52,21/01/16
675,K2-27,b,Transit,1,6.77145,,0.16,,0.09156,Mass,0.397,1.8,0,0,1,,11h26m03.64s,171.515165,+01d13m50.7s,1.230738,,12.644,V (Johnson),5320,0.89,0.85,11/02/16
676,K2-28,b,Transit,1,2.260455,0.0214,0,88.9,,,0.207,,0,0,1,,22h22m29.85s,335.624384,-07d57m19.3s,-7.955366,53,16.061,V (Johnson),3214,0.26,0.29,25/02/16
677,K2-29,b,Transit,1,3.2588321,0.04217,0.066,86.656,0.73,Mass,1.19,0.53,0,0,0,,04h10m40.96s,62.670647,+24d24m07.4s,24.402043,185,12.526,V (Johnson),5358,0.94,0.86,24/03/16
678,K2-3,b,Transit,3,10.05429,0.0775,0.06,89.59,0.02643,Mass,0.185,4.32,0,0,1,,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,42,12.17,V (Johnson),,0.61,0.55,15/10/15
679,K2-3,c,Transit,3,24.6491,0.1405,0.04,89.7,0.00661,Mass,0.147,1.82,0,0,1,,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,42,12.17,V (Johnson),,0.61,0.55,15/10/15
