full_name,epoch_mjd,a,e,i,om,w,ma,per_y
"312467 (2008 SH50)",57400,5.167696417162261,.06002806732931204,5.427335529536588,4.031560387276174,94.54228503419824,139.1127238874484,11.7477228208641
"312468 (2008 SY61)",57400,5.094120331157603,.0515545991877615,8.286003911787661,149.2737765613681,256.9668467954915,164.1559094892675,11.4977272342174
"312469 (2008 SN83)",57400,5.215077341524661,.1016921743187669,.6626237418397148,114.5784237420618,291.8198278409256,183.0961353501284,11.909659157841
"312471 (2008 ST153)",57400,5.234094307595186,.09532516479028032,11.10444983947521,7.203984583694427,36.47933949548977,185.0023452248607,11.9748620060166
"312472 (2008 SX216)",57400,5.231202144256956,.05671734505568003,7.728471810932388,288.8373395904991,175.4567495649269,132.5121634792947,11.9649380907774
"312474 (2008 SP252)",57400,5.289844553957188,.07185047252493702,6.998378550784782,181.4303987347558,189.9024512626841,216.2701162907251,12.1666934980817
"312475 (2008 SW275)",57400,5.353694342887013,.03857483590753776,5.081923745217968,144.4852558108921,241.6591415305555,205.7131225685682,12.387639579743
"312476 (2008 SJ277)",57400,5.304197702294835,.03543651900538675,24.15947935761389,17.74121265337169,17.02793592965031,189.6606846202358,12.2162456425222
"312477 (2008 SD278)",57400,5.176849672837741,.06753559106915465,6.57971390107852,269.735380951737,103.281898996257,218.2766019535296,11.7789487782258
"312478 (2008 SN293)",57400,5.239055143933543,.08855696145636115,9.404249400607712,137.1961306485409,265.5314395164719,196.7801289114445,11.9918905693715
"312479 (2008 TX35)",57400,5.173271365322657,.06590254095790067,2.949718531317495,278.9657897157649,207.4753703221682,113.6931113789091,11.7667382391951
"312480 (2008 TN49)",57400,5.17575106749988,.05624237137622021,12.3254993119446,201.3725538667171,176.6679539986901,214.3741891105293,11.7751994721059
"312482 (2008 TE127)",57400,5.256067341654935,.03071259609983293,7.042917657638718,262.4465241650666,140.5048392691426,195.0795029517369,12.0503478479402
"312483 (2008 TD174)",57400,5.127498000491189,.07168472875787904,3.189927317971549,85.084948829344,323.6510809522546,190.647902231712,11.6109151619222
"312484 (2008 UL15)",57400,5.261433479794556,.06308380062480821,5.049876539673794,348.471756724933,33.51108855084449,209.5750001072745,12.0688066105484
"312486 (2008 UE190)",57400,5.274135465306078,.07032697321452913,5.206846087927267,149.6452828865003,269.2741635546737,174.3206565801524,12.1125371713673
"312487 (2008 UZ235)",57400,5.240036097004472,.0348961929641289,5.618645424355961,249.040266109019,181.3540694976675,176.4562918304752,11.9952587432647
"312608 (2009 RU53)",57400,5.2402609858901,.04386616539871352,9.559249172929565,42.84016515339544,13.74493328823552,165.0833288923797,11.9960309600772
"312609 (2009 RW55)",57400,5.276104563292465,.04713473800478481,5.106928462859588,64.63226014181211,11.79741231169686,144.6757605837861,12.1193211264089
"312610 (2009 RA63)",57400,5.194201219000623,.07432280748689417,4.456832303314487,16.38855201104097,48.67040763606374,147.8669029818058,11.8382186483421
"312611 (2009 RY68)",57400,5.172136037683924,.07753028055510255,3.789428565180035,147.0533657264907,228.7690938151902,204.3668973583836,11.7628649540272
"312612 (2009 SE74)",57400,5.132055678485901,.0366608064026723,6.802587154776055,85.16662007177716,71.49964049534323,69.95242310157207,11.6263994888596
"312614 (2009 SQ120)",57400,5.257256085126139,.08425689658019024,12.4145833387918,205.5552451499639,245.6230338033179,120.8862602367691,12.0544361466563
"312615 (2009 SJ137)",57400,5.151783245834748,.1446168039032314,6.004938325468298,219.4739814329359,217.9936772950435,159.1705273007512,11.6935015042762
"312616 (2009 SF141)",57400,5.125909007663076,.06842231075452873,3.894224208332432,355.9342437777945,84.78812498786017,140.9227932930891,11.6055183100442
"312617 (2009 SZ199)",57400,5.149997637249055,.06641114417385351,10.29142310513098,2.42805513273974,108.2567168820034,111.3679588579834,11.6874225779138
"312618 (2009 SQ246)",57400,5.223934250439003,.176266257477272,8.094546208648524,158.0447336823653,247.920968783583,170.9960885228537,11.9400117872033
"312619 (2009 SS246)",57400,5.243343483252503,.1368665721766066,14.38127993521816,178.4576209590664,259.0883121538135,144.9569861929507,12.0066172184467
"312620 (2009 SA252)",57400,5.321763091006285,.09615541426985329,6.160506821779794,262.4036602949808,173.2391109341864,143.7460079644089,12.2769788591713
"312621 (2009 SZ269)",57400,5.110528791390153,.07729808440334271,8.628766120027697,31.96355457074532,24.93479589839353,161.5957026746058,11.5533242247429
"312622 (2009 SH313)",57400,5.274305598882076,.02782883431194767,8.201652268755675,49.46586866841039,305.782595447603,214.6887512669648,12.1131232672012
"312623 (2009 SQ346)",57400,5.144946971363848,.1621311710409169,3.334108401177518,126.9694077796607,317.7675361664732,146.9712676842944,11.6702337958184
"312624 (2009 SB355)",57400,5.18644897767411,.1417388194914996,5.706437612072239,266.7122697269851,156.4266474386757,162.3082917821922,11.8117260829192
"312625 (2009 SK356)",57400,5.085273636791649,.08914920089835796,4.078141562167639,277.6278290344588,163.4921386053387,156.6049799016209,11.4677889825454
"312626 (2009 TU15)",57400,5.295420824756139,.1028520936436408,9.466976254963436,82.41726093061595,346.9767976473168,154.1412595305436,12.1859367821017
"312627 (2009 TS26)",57400,5.237356134757033,.1697615035463121,7.277318043734498,132.5519551323475,299.52018876,152.1192462034203,11.9860576434986
"312628 (2009 UA36)",57400,5.279667246544709,.08248726742219346,10.2131885192205,211.6443244349225,219.4070357424988,159.239977889845,12.1315985338947
"312629 (2009 UB101)",57400,5.275711572727262,.0299784063287277,4.691687296441006,80.78614035001526,24.3227524841682,132.9419631014489,12.117967090459
"312630 (2009 UB107)",57400,5.278422378311171,.01414110422889333,7.895227507634424,61.60652718919933,352.5123950998792,183.8529277407537,12.1273081068636
"312631 (2009 UR145)",57400,5.281319191206758,.1424207127637882,22.53571002750686,106.408812167557,319.0366635706067,159.933948574905,12.1372927271218
"312632 (2009 UY148)",57400,5.26746192514745,.1341625276555663,17.36691504376218,219.3374798723114,307.1638008704815,49.26440229843855,12.0895548471443
"312633 (2009 WE5)",57400,5.20638422967705,.05825952753292708,13.37082105344269,259.5357063583278,182.1443171522112,160.1976127126593,11.8798929140764
"312634 (2009 WM59)",57400,5.182232601427583,.01678326228170725,7.410615824949787,70.96119192362781,336.689296764546,194.2036394240983,11.7973253171264
"312635 (2009 WC221)",57400,5.173903549083791,.01247723559786503,3.618386671723091,125.5153345988885,304.4178397582846,171.4956621250976,11.7688951823255
