pdes,a,e,M,pha
588,5.205918324800839,.1470424681017484,138.597022350481,N
617,5.21763128575004,.1387283713515114,103.7387695692161,N
624,5.252597071273332,.02444697441922712,72.22810363752731,N
659,5.18114452155613,.1165210604204897,242.2082198803741,N
884,5.182339852877494,.1214295690970759,190.6056854940156,N
911,5.273512646816124,.06600130643708614,170.1766508225021,N
1143,5.248880889534793,.0897484413087309,117.8124648378189,N
1172,5.217849631644765,.1035007085944358,171.6426770708719,N
1173,5.300320789405692,.1368513234279001,119.2906329600644,N
1208,5.250215734964085,.09192059269717749,122.8558045415638,N
1404,5.303753903744521,.1126995801001339,182.0623474341385,N
1437,5.193049785043887,.04442335612683939,167.1413349660696,N
1583,5.127350018859004,.05182044232477226,188.1743490069966,N
1647,5.215563328052558,.02251937804526995,34.68601891727656,N
1749,5.14887399751383,.1074136451838811,121.7879305188637,N
1867,5.128583674382034,.04316567617922776,178.2961961541973,N
1868,5.320157479144488,.1086882217581957,213.1403927439721,N
1869,5.229815122424984,.06595442567427617,198.0358133970022,N
1870,5.248173986135825,.03185532702913006,148.7212798543265,N
1871,5.252965498918003,.03247501485168,119.6331670871018,N
1872,5.318258662105997,.0476227418933115,162.4963173227849,N
1873,5.236512326104052,.09223657780459385,255.1153853668581,N
2146,5.194699205700123,.1010376733730452,171.2416470425186,N
2148,5.214137881803062,.05675032533289927,176.5548894076958,N
2207,5.138607644661149,.01685850938131134,11.99346762304631,N
2223,5.230595667774532,.01521050881502646,194.4913954870786,N
2241,5.187103447132945,.06698354864824685,247.9785394183665,N
2260,5.195193544149051,.04332633051161676,175.2667502013549,N
2357,5.20898012922943,.04413056546778844,212.6590980091497,N
2363,5.198847493865749,.0353679738892478,211.0040738981672,N
2456,5.129736777269104,.07370587777017332,157.7432353953366,N
2594,5.065249896135915,.08390486538110516,172.5726131367676,N
2674,5.181116116269096,.06769540458314514,244.8012676562957,N
2759,5.181472353701378,.06659516004208173,51.0131978921381,N
2797,5.102608508769222,.08822252562667007,105.3798169354813,N
2893,5.154374181584275,.07547028864289551,166.4208679282391,N
2895,5.237180759935011,.0503916206146347,55.14317339980617,N
2920,5.10805795732244,.02609936069401501,151.0923274958789,N
3063,5.205306291436176,.0595066953217239,101.689931447253,N
3240,5.238647292752868,.1262244409697607,138.1812616847853,N
3317,5.22347269661549,.1261455328370599,179.1349932720461,N
3391,5.302237159116292,.08238711730937803,135.4258282648344,N
3451,5.128587145509441,.07042506490938259,166.8304405658867,N
3540,5.270868714355751,.1179822380971778,89.44591349624298,N
3548,5.18828402218376,.08922913704625093,170.2610092483116,N
3564,5.207292123734269,.04090894208796939,345.150701041582,N
3596,5.16566454057215,.07335120645185172,172.5994309522093,N
3708,5.217488421350913,.1583327909242562,109.9443734184899,N
3709,5.243570045955251,.06008462969508963,136.5303781511637,N
3793,5.211902177440851,.08990471803130784,128.3041611591796,N
3794,5.206159175425099,.1454657474745082,207.1295565115249,N
3801,5.324470567785571,.02212243163187649,164.3328160900629,N
4007,5.172819856083141,.05618128728579923,146.0185424994787,N
4035,5.284878598706126,.05585066409938087,147.5134218408477,N
4057,5.262261187964081,.1181946629631433,131.8483208149903,N
4060,5.246653685998459,.154320209602419,100.9871669462037,N
4063,5.182276392953852,.118258062027088,157.4770975012521,N
4068,5.150090433734493,.07333025643663134,74.10960679379171,N
4086,5.25615862322591,.1206767712365156,188.7624345593922,N
4138,5.162120339749863,.04291302950738857,215.5324911025102,N
4348,5.240645385050319,.09798334364509359,75.9156130162159,N
4489,5.224202067340902,.05753727807845087,107.1100627739593,N
4501,5.204961406636572,.05260876369536001,173.9044774166537,N
4543,5.120144331144251,.09569589536975769,191.9395336253503,N
4707,5.185715902294347,.123414091433604,89.67032878888415,N
4708,5.261362319806656,.05965709573648955,57.55522662634463,N
4709,5.239467710783999,.02202654285683974,135.7717353852321,N
4715,5.108577875739611,.04955949307442471,111.4626177715796,N
4722,5.206950608710433,.1120637390224477,74.77013637615408,N
4754,5.237509418418466,.01039425554058993,118.8104519777792,N
4791,5.162632842007562,.0468181706181725,24.56462975539228,N
4792,5.261701592143107,.0909015762407271,108.4742592674586,N
4805,5.212175321268569,.09038548289754496,78.18230496603351,N
4827,5.117024862188139,.04619631653610991,51.81904353426525,N
4828,5.167716354111636,.04311892145589533,328.8287520400949,N
4829,5.143814371547591,.05026942728349399,129.960826885642,N
4832,5.266108660327862,.1405855875202902,119.2050871868118,N
4833,5.245619127737294,.09167655416981679,189.5211027594971,N
4834,5.220720111619952,.1349156021405284,143.6777507994489,N
4835,5.192625489884334,.2513784299110797,109.4718059629459,N
4836,5.202649044261253,.1087706012250329,118.7076416743742,N
4867,5.160406924577762,.01680787921462525,212.9867966366596,N
4902,5.204740011857609,.04216035256409267,136.7474329948049,N
4946,5.319552138869248,.05066541442708482,316.9230219636262,N
5012,5.271693689765886,.0850919943792327,211.0158126095984,N
5023,5.179433315483561,.05064527567763516,176.477177220004,N
5025,5.200594870948177,.07432643423306287,154.480484696131,N
5027,5.305455571336567,.06459349495387674,154.8069159576773,N
5028,5.263174666476537,.1297218558360134,166.8090261228285,N
5041,5.179489294463851,.03649613579275394,105.2609050204967,N
5119,5.200836140242174,.1086393964982632,127.6731002142404,N
5120,5.279224640397532,.1100916530835805,132.7483089761029,N
5123,5.231385603951784,.1016290380000209,106.8871720496248,N
5126,5.240241979681542,.0254239821157588,113.9540478793144,N
5130,5.215608764470559,.009842636219864687,81.71564945519432,N
5144,5.20490179017534,.2710791991787109,148.9508714795988,N
5209,5.185467826572522,.05005013668494159,180.2970064875516,N
5233,5.14379226386505,.04484145783455942,271.374648563033,N
5244,5.170644084532062,.02747485679691376,251.2037737807085,N
5254,5.237126856890795,.120368931363278,155.5025859966119,N
5257,5.167357222766252,.03196629301953327,236.2613124389156,N
5258,5.180176192328959,.07567933988483579,88.48969941266307,N
5259,5.199687332176971,.07318509516427656,320.9685378756951,N
5264,5.205845595664043,.1114251074313779,100.7806561065591,N
5283,5.201496219128884,.1487514862600383,152.9581726139414,N
5284,5.22373735592935,.08320695408348286,137.2834526820197,N
5285,5.168917628211193,.04906840064841737,204.9129289759044,N
5436,5.199630810196938,.07746655856029641,107.2569206314095,N
5476,5.109556434361617,.07246807631213559,166.2601265381804,N
5511,5.243294711226521,.1158108052183202,174.2237354122009,N
5637,5.147890721198949,.119616693438606,142.8048220633561,N
5638,5.255158010065851,.1060580424731271,195.075111109226,N
5648,5.154933959837317,.1650288673058494,110.1680736724008,N
5652,5.209122748116953,.07553559853865204,195.9975229260694,N
5907,5.145055689417942,.09629553519310834,209.462410791944,N
6002,5.219518750020408,.09285201969209685,96.61962314473229,N
6090,5.312492423672969,.05658043329332328,172.617113052501,N
6443,5.24472539290646,.1261205412806497,88.06484773322765,N
6545,5.143468062832322,.05092529911222651,172.5102019269316,N
